learnerID,Sex,Age,Mother Tongue,Nutritional Status(BMI),Filipino 1,English 1,Math 1,Aral Pan 1,Filipino 2,English 2,Math 2,Aral Pan 2,Filipino 3,English 3,Math 3,Science 3,Aral Pan 3,Filipino 4,English 4,Math 4,Science 4,Aral Pan 4,Filipino 5,English 5,Math 5,Science 5,Aral Pan 5,School,MPS
BES24-001,M,11,Ilocano,Normal,81,79,80,86,83,81,81.0,83,82,82,82,81,81,84,83,83,82,82,86,82,85,84,86,Badipa Elementary School,75.7
BES24-002,M,12,Ilocano,Normal,89,86,91,87,84,82,83.0,84,83,82,83,81,83,82,81,83,81,82,87,84,86,85,87,Badipa Elementary School,75.7
BES24-003,M,11,Ilocano,Normal,81,80,80,82,81,81,81.0,80,82,82,83,81,82,84,82,84,82,83,85,81,82,83,85,Badipa Elementary School,75.7
BES24-004,F,12,Ilocano,Normal,88,87,91,88,84,86,85.0,87,82,82,82,82,82,80,79,79,79,80,87,84,84,85,86,Badipa Elementary School,75.7
BES24-005,F,11,Ilocano,Normal,80,80,80,80,78,77,77.0,78,82,82,82,83,83,83,82,81,82,82,85,84,84,85,83,Badipa Elementary School,75.7
BES24-006,F,11,Kamayo,Normal,84,84,84,84,89,85,87.0,89,83,83,85,86,85,91,90,90,90,91,87,87,84,84,87,Badipa Elementary School,75.7
BES24-007,F,12,Ilocano,Normal,86,86,87,87,86,84,83.0,85,81,80,80,80,81,88,87,86,86,87,91,90,91,91,90,Badipa Elementary School,75.7
BES24-008,M,11,Tagalog,Normal,85,85,82,83,83,81,82.0,83,79,78,77,78,78,81,79,80,80,81,85,81,83,82,85,Badipa Elementary School,75.7
BES24-009,M,12,Ilocano,Normal,79,78,81,84,77,75,75.0,76,80,79,79,80,80,80,80,79,81,81,83,82,83,83,83,Badipa Elementary School,75.7
BES24-010,M,11,Ilocano,Normal,81,76,82,85,81,81,83.0,80,85,83,85,84,85,81,81,81,81,81,82,82,83,81,83,Badipa Elementary School,75.7
BES24-011,F,13,Ilocano,Normal,81,81,80,79,77,77,77.0,77,78,78,78,80,78,78,78,77,79,77,83,82,83,83,83,Badipa Elementary School,75.7
BES24-012,F,11,Ilocano,Normal,75,75,76,79,79,80,82.0,80,79,78,79,80,80,82,80,79,79,81,84,81,82,84,84,Badipa Elementary School,75.7
BES24-013,F,11,Ilocano,Normal,81,81,80,81,78,76,76.0,77,83,83,81,80,82,85,85,83,83,85,83,83,84,83,83,Badipa Elementary School,75.7
BES24-014,M,11,Ilocano,Normal,81,81,80,80,77,76,76.0,75,79,79,79,79,79,77,79,79,78,79,82,79,82,80,79,Badipa Elementary School,75.7
BES24-015,M,11,Ilocano,Normal,87,80,88,87,85,84,84.0,85,86,84,85,84,85,81,81,81,81,81,90,89,89,89,89,Badipa Elementary School,75.7
BES24-016,M,11,Ilocano,Normal,88,85,89,85,88,88,88.0,88,79,77,77,77,77,79,78,79,76,78,88,85,86,86,87,Badipa Elementary School,75.7
BES24-017,M,11,Ilocano,Normal,80,80,80,82,82,81,81.0,81,81,81,82,80,82,81,80,81,80,80,88,85,86,86,86,Badipa Elementary School,75.7
BES24-018,M,11,Tagalog,Normal,84,84,86,85,88,86,89.0,88,85,84,85,84,84,85,87,86,86,88,88,87,87,88,86,Badipa Elementary School,75.7
BES24-019,M,11,Ilocano,Normal,87,87,87,88,86,85,85.0,84,84,82,82,82,83,85,83,82,83,83,87,85,86,85,84,Badipa Elementary School,75.7
BES24-020,M,11,Tagalog,Normal,87,88,87,87,85,84,85.0,88,86,85,85,85,86,86,85,84,84,85,90,89,89,90,89,Badipa Elementary School,75.7
BES24-021,F,12,Ilocano,Normal,81,80,82,86,84,82,83.0,84,83,83,82,82,84,85,84,84,83,85,88,84,85,85,86,Badipa Elementary School,75.7
BES24-022,F,11,Ilocano,Normal,84,87,83,85,84,84,83.0,85,85,85,84,86,85,89,88,87,88,88,88,87,89,88,87,Badipa Elementary School,75.7
BES24-023,F,11,Ilocano,Normal,83,82,84,85,87,88,87.0,88,85,86,86,83,84,85,84,84,84,85,89,88,88,89,88,Badipa Elementary School,75.7
BES24-024,F,11,Ilocano,Normal,88,85,88,89,88,87,86.0,87,88,87,87,85,88,88,88,87,87,87,89,88,88,89,88,Badipa Elementary School,75.7
BES24-025,F,11,Ilocano,Normal,80,79,80,80,82,80,80.0,82,82,80,81,80,82,82,84,84,81,83,86,82,84,84,85,Badipa Elementary School,75.7
BES24-026,F,12,Ilocano,Normal,81,80,83,86,83,82,82.0,84,82,82,84,81,83,84,83,84,83,85,88,83,84,84,84,Badipa Elementary School,75.7
BES24-027,M,12,Ilocano,Normal,79,77,79,82,81,78,78.0,80,83,82,82,83,82,81,81,80,80,80,82,81,81,81,82,Badipa Elementary School,75.7
BES24-028,F,11,Ilocano,Normal,76,75,77,78,78,76,76.0,78,79,78,79,78,80,79,79,79,78,79,81,79,80,79,78,Badipa Elementary School,75.7
BES24-029,F,11,Ilocano,Normal,75,81,76,78,78,77,76.0,77,78,78,78,78,77,79,79,79,78,79,82,80,81,80,80,Badipa Elementary School,75.7
BES24-030,M,11,Tagalog,Normal,86,84,90,89,83,81,81.0,83,82,80,80,81,82,79,79,79,79,79,81,80,81,80,81,Badipa Elementary School,75.7
BES24-031,F,11,Ilocano,Normal,86,84,86,88,82,81,81.0,83,77,77,77,77,77,78,77,77,77,78,82,80,79,79,81,Badipa Elementary School,75.7
BES24-032,M,17,Ilocano,Normal,90,91,90,88,87,87,87.0,88,86,86,86,85,86,77,77,77,77,77,83,83,83,83,86,Badipa Elementary School,75.7
BES24-033,F,11,Ilocano,Normal,75,75,75,75,78,76,77.0,77,78,76,77,77,76,81,81,81,81,81,75,75,75,75,75,Badipa Elementary School,75.7
BES24-034,F,11,Ilocano,Normal,83,80,81,83,81,81,81.0,81,83,84,82,84,83,82,82,82,82,82,79,79,79,79,79,Badipa Elementary School,75.7
BES24-035,M,16,Ilocano,Normal,78,80,80,80,75,75,75.0,75,76,76,76,76,76,76,76,76,76,76,78,76,76,78,78,Badipa Elementary School,75.7
BES24-036,M,11,Ilocano,Normal,81,80,80,82,83,81,83.0,82,83,82,82,83,82,83,81,81,81,82,79,79,79,79,79,Badipa Elementary School,75.7
BES24-037,F,11,Ilocano,Normal,77,75,77,79,76,76,75.0,76,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,Badipa Elementary School,75.7
BES24-038,M,11,Ilocano,Normal,82,81,83,83,85,85,87.0,83,83,82,83,81,81,81,80,80,81,81,80,80,80,80,80,Badipa Elementary School,75.7
BES24-039,M,11,Ilocano,Normal,90,91,92,92,90,90,90.0,91,89,89,89,89,90,91,90,90,91,91,92,93,93,93,90,Badipa Elementary School,75.7
BES24-040,M,11,Ilocano,Normal,96,94,92,90,91,91,92.0,92,92,91,91,90,90,92,91,92,91,91,94,95,95,94,92,Badipa Elementary School,75.7
BES24-041,M,11,Ilocano,Normal,92,92,90,93,86,86,88.0,89,89,89,89,88,91,91,90,90,90,91,88,87,88,88,87,Badipa Elementary School,75.7
BES24-042,F,11,Ilocano,Normal,91,98,90,90,87,87,87.0,89,89,88,88,88,91,89,88,88,89,90,88,88,88,88,89,Badipa Elementary School,75.7
BES24-043,F,11,Ilocano,Normal,88,90,87,89,90,89,90.0,91,91,90,90,90,91,91,91,90,90,91,91,92,92,92,90,Badipa Elementary School,75.7
BES24-044,F,11,Ilocano,Normal,88,88,87,87,86,86,85.0,88,86,86,85,84,86,88,87,87,88,87,88,90,90,88,87,Badipa Elementary School,75.7
BES24-045,F,11,Ilocano,Normal,76,76,77,79,81,80,81.0,83,80,79,79,79,79,80,79,79,79,80,83,79,79,79,76,Badipa Elementary School,75.7
DAPSMECSE24-001,M,12,Ilocano,Normal,76,76,78,75,77,78,77.0,77,88,88,89,89,90,89,86,83,85,84,84,88,83,84,84,Don Amadeo Perez Sr. Memorial Elementary School - East,78.17
