Learner ID,Gender,Age,Mother Tongue,Nutritional Status,Filipino 1,English 1,Math 1,Aral Pan 1,Filipino 2,English 2,Math 2,Aral Pan 2,Filipino 3,English 3,Math 3,Science 3,Aral Pan 3,Filipino 4,English 4,Math 4,Science 4,Aral Pan 4,Filipino 5,English 5,Math 5,Science 5,Aral Pan 5,MPS
BES25-001,M,11,Ilocano,Normal,84,83,87,91,86,85,87,87,88,88,88,87,87,88,88,87,87,86,89,85,88,88,86,80.54
BES25-002,M,11,Tagalog,Normal,84,83,85,87,86,86,87,87,6,87,87,86,89,90,90,90,89,90,89,84,86,86,86,80.54
BES25-003,M,12,Ilocano,Normal,84,83,84,85,86,85,84,85,81,80,81,81,81,87,85,87,84,85,89,86,88,86,86,80.54
BES25-004,M,11,Tagalog,Wasted,84,87,83,83,82,82,82,83,83,82,82,83,83,84,83,83,83,84,86,86,86,87,86,80.54
BES25-005,M,11,Ilocano,Normal,81,80,80,80,84,82,83,84,80,79,78,78,79,86,85,83,82,84,85,83,85,85,84,80.54
BES25-006,M,12,Tagalog,Normal,92,87,93,93,91,89,91,95,92,92,92,92,91,89,88,89,89,89,89,88,88,89,87,80.54
BES25-007,M,12,Ilocano,Normal,85,84,83,82,88,88,92,88,90,90,90,89,90,88,87,89,87,88,87,87,88,89,87,80.54
BES25-008,M,11,Ilocano,Normal,80,80,80,81,84,84,84,84,82,82,82,81,81,88,89,88,87,88,87,84,87,86,85,80.54
BES25-009,M,11,Ilocano,Normal,93,92,90,92,91,90,89,89,91,88,92,91,95,89,88,88,89,88,89,89,89,89,88,80.54
BES25-010,F,11,Ilocano,Normal,84,83,82,85,87,86,86,86,90,90,90,89,90,87,86,88,87,86,87,87,86,86,87,80.54
BES25-011,M,11,Ilocano,Normal,84,83,84,85,82,82,82,82,82,81,81,80,81,86,87,85,86,87,88,87,86,86,85,80.54
BES25-012,F,12,Ilocano,Normal,88,89,89,88,85,84,85,86,87,85,85,86,85,89,87,89,87,88,91,89,91,90,90,80.54
BES25-013,M,11,Tagalog,Normal,86,86,86,86,92,92,92,91,92,92,91,92,92,92,89,94,91,89,90,89,91,90,89,80.54
BES25-014,F,11,Ilocano,Normal,91,91,90,90,88,88,88,88,87,87,87,86,86,87,88,87,88,88,88,84,86,86,86,80.54
BES25-015,M,12,Ilocano,Normal,87,90,88,87,89,88,88,90,86,87,86,87,87,85,85,83,86,86,86,85,86,87,85,80.54
BES25-016,M,11,Ilocano,Normal,87,88,87,85,88,87,87,90,83,84,84,84,84,87,87,87,86,86,88,84,90,88,87,80.54
BES25-017,M,12,Tagalog,Normal,89,87,90,91,89,89,89,89,85,84,85,85,83,85,84,84,84,84,85,85,85,85,85,80.54
BES25-018,M,12,Ilocano,Normal,84,84,89,93,87,87,89,89,85,83,83,83,83,84,83,83,83,83,87,86,85,87,87,80.54
BES25-019,F,11,Ilocano,Normal,85,82,86,86,85,85,85,84,81,81,81,81,81,89,87,90,87,88,91,88,91,89,89,80.54
BES25-020,F,11,Ilocano,Normal,88,87,86,89,82,84,82,85,85,83,82,84,85,83,83,83,83,83,86,86,86,86,85,80.54
BES25-021,F,11,Ilocano,Normal,84,83,84,85,77,77,77,78,78,78,78,78,78,88,88,89,88,88,85,83,84,85,85,80.54
BES25-022,F,11,Ilocano,Normal,79,76,77,77,84,83,85,85,78,78,77,77,77,85,84,83,84,85,85,83,85,85,84,80.54
BES25-023,F,11,Tagalog,Normal,88,86,90,88,92,92,92,90,90,90,90,89,90,89,88,88,88,89,87,88,88,89,87,80.54
BES25-024,F,12,Ilocano,Normal,83,83,83,84,77,76,75,77,81,77,76,78,78,87,86,88,83,86,88,88,87,89,87,80.54
BES25-025,F,11,Ilocano,Normal,83,85,83,83,84,84,84,84,86,86,86,86,86,84,84,81,83,85,85,84,85,85,85,80.54
BES25-026,F,11,Ilocano,Normal,88,87,88,87,87,86,86,88,87,86,85,87,87,83,81,82,82,84,84,82,84,83,84,80.54
BES25-027,F,11,Ilocano,Normal,83,81,76,78,81,80,80,87,80,89,89,88,89,87,86,85,86,87,88,85,86,87,86,80.54
BES25-028,F,11,Ilocano,Normal,85,85,84,85,84,84,84,85,87,88,87,88,87,89,89,85,87,88,87,88,88,89,86,80.54
BES25-029,F,12,Ilocano,Normal,92,92,91,90,83,82,81,82,81,79,80,78,81,87,85,86,85,87,90,86,88,88,88,80.54
BES25-030,F,11,Ilocano,Normal,86,85,85,85,88,87,86,90,86,86,86,86,86,85,84,84,84,84,83,82,84,84,83,80.54
BES25-031,F,11,Ilocano,Normal,85,88,94,91,90,90,91,90,91,89,91,91,91,88,87,88,88,89,88,88,89,90,88,80.54
BES25-032,F,11,Ilocano,Normal,84,83,84,82,86,86,85,85,84,84,84,84,84,86,86,85,86,86,87,84,85,86,86,80.54
BES25-033,F,13,Ilocano,Normal,78,78,78,79,77,76,76,76,77,77,77,77,77,86,86,87,87,86,85,83,84,85,85,80.54
BES25-034,F,12,Ilocano,Normal,91,87,89,90,84,82,83,84,81,81,81,81,81,85,84,85,83,85,87,84,86,86,85,80.54
BES25-035,F,12,Ilocano,Normal,90,90,89,89,89,90,89,90,87,87,86,86,86,88,87,88,87,88,89,84,86,87,87,80.54
BES25-036,F,11,Ilocano,Normal,88,87,88,86,88,87,86,89,86,86,86,86,86,87,86,85,85,86,88,84,86,86,86,80.54
BES25-037,F,14,Ilocano,Normal,79,79,79,79,77,77,77,78,84,84,85,85,84,86,86,87,86,86,85,83,84,85,84,80.54
BES25-038,F,11,Ilocano,Normal,77,75,75,75,75,75,75,75,77,77,77,77,77,88,88,88,88,88,85,83,85,84,84,80.54
BES25-039,F,11,Ilocano,Normal,80,79,80,81,82,82,82,81,79,80,80,80,81,84,84,85,85,85,86,85,86,85,85,80.54
BES25-040,F,13,Ilocano,Normal,91,91,92,91,77,77,77,78,75,75,75,75,75,86,86,86,85,86,90,84,88,87,87,80.54
BES25-041,F,11,Ilocano,Normal,81,80,84,90,84,82,86,87,83,82,84,84,84,87,87,84,86,87,86,84,84,85,85,80.54
BES25-042,F,11,Ilocano,Normal,76,75,75,77,79,82,82,80,86,85,86,86,88,86,85,83,85,85,88,84,87,87,86,80.54
BES25-043,F,12,Ilocano,Normal,79,78,75,77,81,79,80,81,82,83,82,83,84,84,85,81,85,85,83,82,82,83,83,80.54
BES25-044,F,12,Ilocano,Normal,84,84,82,83,86,85,85,87,80,80,81,81,82,86,86,83,85,86,87,84,84,85,87,80.54
BES25-045,F,12,Ilocano,Overweight,83,78,81,82,76,76,76,76,77,77,77,77,77,84,84,84,85,84,84,83,84,85,83,80.54
BES25-046,F,12,Ilocano,Normal,82,83,85,86,84,85,85,86,83,82,82,82,82,85,85,86,86,85,86,84,85,86,85,80.54
BES25-047,F,12,Ilocano,Normal,80,80,79,79,80,79,80,81,78,78,77,77,78,82,82,80,81,83,82,81,81,83,82,80.54
BES25-048,F,11,Tagalog,Normal,82,84,82,85,85,86,85,86,86,85,85,86,86,84,83,82,83,84,81,81,81,83,83,80.54
BES25-049,F,12,Ilocano,Normal,91,91,89,90,84,85,84,86,85,85,85,85,85,87,84,88,83,85,86,84,85,85,85,80.54
BES25-050,F,12,Ilocano,Normal,79,77,78,81,84,83,83,83,79,79,79,79,79,87,86,86,86,86,89,86,89,89,86,80.54
BES25-051,F,12,Ilocano,Normal,81,78,80,79,90,90,89,90,85,83,83,82,83,82,81,82,82,81,84,83,83,84,83,80.54
BES25-052,F,11,Ilocano,Normal,91,91,90,90,92,87,87,91,85,86,86,85,86,84,83,84,84,84,83,82,84,83,83,80.54
BES25-053,F,12,Ilocano,Normal,84,82,83,83,79,79,79,79,81,81,81,81,81,84,83,84,83,83,84,82,82,84,83,80.54
