learnerID,School,Age,Filipino 1,English 1,Math 1,Aral Pan 1,Filipino 2,English 2,Math 2,Aral Pan 2,Filipino 3,English 3,Math 3,Science 3,Aral Pan 3,Filipino 4,English 4,Math 4,Science 4,Aral Pan 4,Filipino 5,English 5,Math 5,Science 5,Aral Pan 5,school_year,Filipino_avg,English_avg,Math_avg,AralPan_avg,Science_avg,Gender_F,Gender_M,Mother Tongue_Cebuano / Sinugbuanong Binisay,Mother Tongue_English,Mother Tongue_Hiligaynon,Mother Tongue_Ilocano,Mother Tongue_Kamayo,Mother Tongue_Kapampangan,Mother Tongue_Maranao,Mother Tongue_Pangasinan,Mother Tongue_Tagalog,Nutritional Status_Normal,Nutritional Status_Obese,Nutritional Status_Overweight,Nutritional Status_Severely Wasted,Nutritional Status_Wasted,MPS
UISC25-095,Urdaneta City SPED Center,11,88.0,87.0,92.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,91.0,94,93,89,89,93,91.0,92,88,91,90,1,91.0,90.8,90.2,91.2,90.33333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,72.08
NAN25-011,Nancayasan Elementary School,11,97.0,98.0,95.0,96.0,96.0,96.0,96.0,96.0,97.0,97.0,98.0,97.0,97.0,94,94,94,94,94,96.0,95,96,95,95,1,96.0,96.0,95.8,95.6,95.33333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,58.64
UICS25-381,Urdaneta I Central School,12,77.0,77.0,78.0,77.0,77.0,77.0,75.0,75.0,78.0,77.0,77.0,78.0,78.0,79,77,77,77,78,79.0,78,78,78,78,1,78.0,77.2,77.0,77.2,77.66666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,66.82
UICS25-335,Urdaneta I Central School,11,83.90609137,94.0,93.0,93.0,94.0,91.0,91.0,90.0,92.0,94.0,94.0,92.0,93.0,90,90,89,88,88,87.0,88,87,87,86,1,89.381218274,91.4,90.8,90.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
LANES25-033,Lananpin Elementary School,12,82.0,82.0,80.0,79.0,99.0,97.0,92.0,94.0,95.0,94.0,94.0,94.0,95.0,87,86,88,87,87,85.0,87,87,87,87,1,89.6,89.2,88.2,88.4,89.33333333333333,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,62.7
UISC25-107,Urdaneta City SPED Center,11,89.0,86.0,88.0,91.0,92.0,92.0,92.0,92.0,92.0,91.0,92.0,92.0,92.0,95,94,94,92,92,92.0,93,93,92,91,1,92.0,91.2,91.8,91.6,92.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,72.08
UICS25-106,Urdaneta I Central School,13,80.0,80.0,80.0,80.0,80.0,80.0,80.0,80.0,79.0,79.0,79.0,79.0,79.0,87,85,87,88,85,77.0,76,77,77,77,1,80.6,80.0,80.6,80.2,81.33333333333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
UICS25-069,Urdaneta I Central School,11,89.0,87.0,90.0,90.0,86.0,85.0,86.0,87.0,86.0,83.0,84.0,86.0,86.0,90,91,91,91,90,87.0,87,86,86,90,1,87.6,86.6,87.4,88.6,87.66666666666667,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
DAFSIS25-005,Don Alipio Fernandez Sr. Integrated School,11,91.0,92.0,90.0,89.0,91.0,90.0,90.0,89.0,91.0,90.0,90.0,91.0,90.0,90,90,91,90,90,97.0,95,92,94,93,1,92.0,91.4,90.6,90.2,91.66666666666667,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,73.08
UICS25-235,Urdaneta I Central School,11,91.0,88.0,86.0,95.0,95.0,93.0,92.0,92.0,84.91689751,93.0,92.0,91.0,91.0,90,92,93,90,91,89.0,92,92,91,88,1,89.983379502,91.6,91.0,91.4,90.66666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,66.82
